0.749546 	 0.750326 	 0.966904 
0.415192 	 0.706485 	 0.971864 
0.106442 	 0.799443 	 0.821807 
0.038614 	 0.791865 	 0.880477 
0.010244 	 0.809685 	 0.855974 
0.006119 	 0.817296 	 0.878637 
0.004654 	 0.819206 	 0.891199 
0.003830 	 0.817406 	 0.904316 
0.003305 	 0.817787 	 0.913229 
0.002928 	 0.819196 	 0.922533 
0.002647 	 0.817763 	 0.929513 
0.002423 	 0.817691 	 0.936598 
0.002243 	 0.817863 	 0.942921 
0.002096 	 0.818426 	 0.948619 
0.001973 	 0.819036 	 0.951972 
0.001872 	 0.817275 	 0.955868 
0.001779 	 0.818153 	 0.961042 
0.001702 	 0.819373 	 0.964438 
0.001635 	 0.820116 	 0.967725 
0.001576 	 0.819185 	 0.970965 
0.001523 	 0.819103 	 0.973846 
0.001476 	 0.819730 	 0.975628 
0.001434 	 0.819112 	 0.978098 
0.001396 	 0.819302 	 0.980082 
0.001362 	 0.819701 	 0.982573 
0.001332 	 0.819682 	 0.983566 
0.001303 	 0.819508 	 0.985502 
0.001278 	 0.819508 	 0.987350 
0.001254 	 0.819571 	 0.988200 
0.001233 	 0.820526 	 0.990689 
